,Movie Name,Year,Character Name,Normalized_name,Genres,Gender,Count
20,terminator 2: judgment day,1991,Connor,CONNOR,"Thriller, Science Fiction, Doomsday film, Action/Adventure, Time travel, Action",M,2600.0
21,terminator 2: judgment day,1991,Connor,CONNOR,"Thriller, Science Fiction, Doomsday film, Action/Adventure, Time travel, Action",M,2600.0
22,an officer and a gentleman,1982,Zachary,ZACHARY,"Romantic drama, Romance Film, Drama",M,6149.0
23,"good morning, vietnam",1987,Taylor,TAYLOR,"Comedy-drama, Comedy, War film",M,2431.0
24,invasion of the body snatchers,1978,Elizabeth,ELIZABETH,"Thriller, Science Fiction, Remake, New Hollywood, Doomsday film",F,17131.0
25,the last of the mohicans,1992,Jack,JACK,"Costume drama, War film, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",M,2316.0
26,bram stoker's dracula,1992,Jack,JACK,"Thriller, Horror, Costume drama, Gothic Film, Cult, Period piece, Fantasy, Film adaptation, Drama, Romance Film, Costume Horror",M,2316.0
27,lethal weapon 3,1992,Jack,JACK,"Thriller, Crime Fiction, Buddy film, Buddy cop, Action/Adventure, Comedy, Action Thrillers, Action",M,2316.0
28,gladiator,2000,Noah,NOAH,"Crime Fiction, Sports, Drama, Boxing, Teen",M,14811.0
29,a time to kill,1996,Harry,HARRY,"Thriller, Crime Fiction, Drama",M,5038.0
30,picnic at hanging rock,1975,Sara,SARA,"LGBT, Thriller, Horror, World cinema, Supernatural, Mystery, Period piece, Coming of age, Drama",F,5336.0
31,suspiria,1977,Daniel,DANIEL,"Horror, World cinema, Supernatural, Gothic Film, Cult, Coming of age, Slasher",M,27661.0
32,yellow submarine,1968,Jeremy,JEREMY,"Adventure, Animation, Musical, Fantasy, Comedy, Family Film",M,641.0
33,unbreakable,2000,Elijah,ELIJAH,"Thriller, Science Fiction, Superhero movie, Supernatural, Psychological thriller, Superhero, Action/Adventure, Suspense",M,7571.0
34,halloween,1978,Lindsey,LINDSEY,"Thriller, Horror, Indie, Cult, Slasher, Teen",F,1882.0
35,dead poets society,1989,Cameron,CAMERON,"Ensemble Film, School story, Period piece, Drama, Coming of age, Teen",M,5686.0
36,the addams family,1991,Abigail,ABIGAIL,"Black comedy, Family Film, Fantasy, Comedy, Domestic Comedy",F,3842.0
37,the lost world: jurassic park,1997,Owen,OWEN,"Thriller, Science Fiction, Action, Adventure, Film adaptation",M,2322.0
38,platoon,1986,Taylor,TAYLOR,"Anti-war, Indie, Drama, War film, Action, Anti-war film, Combat Films",M,2032.0
39,robocop,1987,Alex,ALEX,"Thriller, Crime Fiction, Science Fiction, Superhero movie, Stop motion, Action/Adventure, Satire, Action",M,6188.0
40,the terminal,2004,Amelia,AMELIA,"Romantic comedy, Comedy-drama, Drama, Comedy, Romantic drama, Romance Film, Comedy of Errors",F,6383.0
41,braveheart,1995,Isabella,ISABELLA,"Biography, Adventure, History, War film, Action/Adventure, Period piece, Drama, Costume drama, Action",F,1754.0
42,where eagles dare,1968,Jonathan,JONATHAN,"Adventure, Roadshow theatrical release, Action/Adventure, Drama, War film, Action",M,5824.0
43,unforgiven,1992,Logan,LOGAN,"Western, Drama",M,4364.0
44,ferris bueller's day off,1986,Cameron,CAMERON,"Cult, Drama, Coming of age, Comedy, Teen",M,2133.0
45,"lock, stock and two smoking barrels",1998,Harry,HARRY,"Thriller, Caper story, Crime Fiction, Buddy film, Crime Comedy",M,5387.0
46,fear and loathing in las vegas,1998,Lucy,LUCY,"Buddy film, Adventure, Absurdism, Road movie, Experimental film, Cult, Drama, Comedy, Black comedy, Avant-garde",F,5800.0
47,legends of the fall,1994,Tristan,TRISTAN,"Family Drama, War film, Western, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",M,1454.0
48,jurassic park iii,2001,Ellie,ELLIE,"Thriller, Natural horror films, Science Fiction, Horror, Adventure, Action/Adventure, Monster, Action",F,5075.0
49,a time to kill,1996,Hailey,HAILEY,"Thriller, Crime Fiction, Drama",F,3781.0
50,a time to kill,1996,Hailey,HAILEY,"Thriller, Crime Fiction, Drama",F,3781.0
51,hook,1991,Jack,JACK,,M,2099.0
52,the silence of the lambs,1991,Jack,JACK,"Thriller, LGBT, Horror, Psychological thriller, Crime Fiction, Suspense, Drama, Crime Thriller",M,2099.0
53,the naked gun 2½: the smell of fear,1991,Quentin,QUENTIN,"Parody, Comedy",M,5445.0
54,how to steal a million,1966,Nicole,NICOLE,"Crime Fiction, Romantic comedy, Crime Comedy, Heist, Caper story, Comedy, Romance Film",F,3665.0
55,2 fast 2 furious,2003,Carter,CARTER,"Thriller, Crime Fiction, Action/Adventure, Crime Thriller, Action Thrillers, Action, Sports",M,4288.0
56,charlie and the chocolate factory,2005,Charlie,CHARLIE,,M,5282.0
57,shrek 2,2004,Lillian,LILLIAN,,F,4839.0
58,doctor zhivago,1965,Tonya,TONYA,Costume drama,F,2968.0
59,doctor zhivago,1965,Tonya,TONYA,"Roadshow theatrical release, Epic, Period piece, Drama, War film, Romantic drama, Romance Film",F,2968.0
60,jackie brown,1997,Louis,LOUIS,"Thriller, Crime Fiction, Indie, Action/Adventure, Blaxploitation, Drama, Comedy, Crime Thriller, Action",M,5964.0
61,meet joe black,1998,William,WILLIAM,"Heaven-Can-Wait Fantasies, Mystery, Fantasy, Drama, Romantic drama, Romance Film, Romantic fantasy",M,27732.0
62,minority report,2002,Leo,LEO,"Crime Fiction, Thriller, Science Fiction, Future noir, Chase Movie, Action/Adventure, Mystery, Drama, Dystopia, Film adaptation, Action, Film noir",M,5967.0
63,bill & ted's excellent adventure,1989,Logan,LOGAN,"Science Fiction, Buddy film, Adventure, Fantasy, Comedy, Time travel, Sci-Fi Adventure, Family Film, Teen",M,3397.0
64,final destination,2000,Carter,CARTER,"Thriller, Horror, Supernatural, Cult, Slasher, Teen",M,2607.0
65,"lock, stock and two smoking barrels",1998,Tom,TOM,"Thriller, Caper story, Crime Fiction, Buddy film, Crime Comedy",M,2642.0
66,the little mermaid,1989,Ariel,ARIEL,"Costume drama, Animation, Musical, Fantasy, Romance Film, Family Film",F,1285.0
67,the omen,1976,Katherine,KATHERINE,"Demonic child, Horror, Supernatural, Psychological thriller, Cult, Mystery",F,5119.0
68,tron,1982,Kevin,KEVIN,"Cyberpunk, Thriller, Science Fiction, Adventure, Computer Animation, Family Film, Action",M,20276.0
69,pearl harbor,2001,Evelyn,EVELYN,"Action/Adventure, Period piece, Drama, War film, Romantic drama, Romance Film, Action, Airplanes and airports",F,2863.0
70,the mummy returns,2001,Evelyn,EVELYN,"Thriller, Monster movie, Horror, Adventure, Supernatural, Costume drama, Costume Adventure, Creature Film, Action/Adventure, Fantasy, Adventure Comedy, Action",F,2863.0
71,bruce almighty,2003,Nolan,NOLAN,"Heavenly Comedy, Drama, Comedy, Fantasy, Fantasy Comedy, Religious Film",M,2919.0
72,jackie brown,1997,Max,MAX,"Thriller, Crime Fiction, Indie, Action/Adventure, Blaxploitation, Drama, Comedy, Crime Thriller, Action",M,3193.0
73,liar liar,1997,Max,MAX,"Slapstick, Fantasy Comedy, Fantasy, Comedy, Domestic Comedy",M,3193.0
74,stargate,1994,Jackson,JACKSON,"Thriller, Science Fiction, Action, Sci-Fi Adventure, Adventure",M,1942.0
75,the jerk,1979,Marie,MARIE,"Music, Screwball comedy, Slapstick, Comedy, Absurdism",F,8721.0
76,notting hill,1999,Max,MAX,"Romantic comedy, Romance Film, Comedy",M,4000.0
77,the naked gun: from the files of police squad!,1988,Spencer,SPENCER,"Parody, Crime Fiction, Screwball comedy, Comedy, Romance Film, Action",M,2693.0
78,rush hour,1998,Carter,CARTER,"Thriller, Crime Fiction, Action, Comedy",M,1849.0
79,the exorcist,1973,Damien,DAMIEN,"Demonic child, Horror, Supernatural, Psychological thriller, Cult, Drama, New Hollywood",M,2186.0
80,mission: impossible,1996,Max,MAX,"Thriller, Action/Adventure, Action, Spy",M,2861.0
81,saving private ryan,1998,George,GEORGE,"Ensemble Film, History, Drama, War film, Action, Combat Films",M,7678.0
82,american psycho,2000,Evelyn,EVELYN,"Thriller, Crime Thriller, Horror, Psychological thriller, Period piece, Satire, Drama, Comedy, Film adaptation, Crime Fiction, Black comedy, Slasher",F,2323.0
83,natural born killers,1994,Owen,OWEN,"Thriller, Crime Fiction, Crime Drama, Road movie, Drama, Media Satire, Romance Film",M,545.0
84,the lost world: jurassic park,1997,Carter,CARTER,"Thriller, Science Fiction, Action, Adventure, Film adaptation",M,1589.0
85,titanic,1997,Dawson,DAWSON,"Tragedy, Costume drama, Historical fiction, Action/Adventure, Period piece, Drama, Disaster, Romantic drama, Romance Film",M,209.0
86,titanic,1997,Dawson,DAWSON,"Tragedy, Costume drama, Historical fiction, Action/Adventure, Period piece, Drama, Disaster, Romantic drama, Romance Film",M,209.0
87,saving private ryan,1998,Charlie,CHARLIE,"Ensemble Film, History, Drama, War film, Action, Combat Films",M,3087.0
88,close encounters of the third kind,1977,Jillian,JILLIAN,"Science Fiction, Drama, Adventure, New Hollywood",F,1150.0
89,tombstone,1993,Wyatt,WYATT,"Crime Fiction, Costume drama, Action/Adventure, Western, Drama, History, Romance Film, Action",M,628.0
90,jurassic park iii,2001,Cooper,COOPER,"Thriller, Natural horror films, Science Fiction, Horror, Adventure, Action/Adventure, Monster, Action",M,1807.0
91,star wars episode iv: a new hope,1977,Luke,LUKE,"Science Fiction, Adventure, Fantasy, Coming of age, Family Film, Action, Space western",M,1258.0
92,pulp fiction,1994,Mia,MIA,"Crime Fiction, Thriller, Crime Comedy, Indie, Gangster Film, Ensemble Film, Drama, Crime Thriller, Black comedy",F,980.0
93,dressed to kill,1980,Blake,BLAKE,"Thriller, Horror, Erotica, Mystery, Psychological thriller, Erotic thriller, Suspense, Crime Thriller, Slasher, Indie",M,971.0
94,being john malkovich,1999,Charlie,CHARLIE,"Workplace Comedy, Fantasy, Drama, Comedy, Black comedy, Fantasy Comedy",M,3072.0
95,young frankenstein,1974,Elizabeth,ELIZABETH,"Parody, Science Fiction, Horror, Black-and-white, Horror Comedy, Comedy, Slapstick",F,12670.0
96,braveheart,1995,William,WILLIAM,"Biography, Adventure, History, War film, Action/Adventure, Period piece, Drama, Costume drama, Action",M,21615.0
97,caddyshack,1980,Lacey,LACEY,"Sports, Gross-out film, Cult, Satire, Comedy, Gross out, Slapstick",F,900.0
98,caddyshack,1980,Lacey,LACEY,"Sports, Gross-out film, Cult, Satire, Comedy, Gross out, Slapstick",F,900.0
99,an american werewolf in london,1981,Alex,ALEX,"Fantasy, Horror, Creature Film, Horror Comedy",M,1949.0
100,the graduate,1967,Benjamin,BENJAMIN,"Romance Film, Drama, Comedy",M,2566.0
101,the fearless vampire killers,1967,Sarah,SARAH,"Parody, Cult, Horror, Comedy",F,4268.0
102,jurassic park,1993,Ellie,ELLIE,"Thriller, Natural horror films, Science Fiction, Horror, Adventure, Film adaptation, Action/Adventure, Monster, Action",F,270.0
103,superbad,2007,Jules,JULES,"Sex comedy, Buddy film, Cult, Coming of age, Comedy, Teen",M,3610.0
104,top gun,1986,Mitchell,MITCHELL,"Action/Adventure, Drama, War film, Romantic drama, Romance Film, Action, Airplanes and airports",M,2674.0
105,evil dead ii,1987,Jake,JAKE,"Horror, Stop motion, Cult, Comedy, Splatter film, Zombie Film, Black comedy",M,1640.0
106,dirty dancing,1987,Jake,JAKE,"Dance, Indie, Period piece, Musical, Coming of age, Drama, Romantic drama, Romance Film, Musical Drama, Teen",M,1640.0
107,lethal weapon,1987,Martin,MARTIN,"Crime Fiction, Albino bias, Buddy film, Buddy cop, Action/Adventure, Thriller, Comedy, Action",M,4086.0
108,casino,1995,Sam,SAM,"Crime Fiction, Biography, Gangster Film, Period piece, Drama, Film adaptation",M,729.0
109,jumanji,1995,Sam,SAM,,M,729.0
110,somewhere in time,1980,Elise,ELISE,"Science Fiction, Indie, Tragedy, Romantic fantasy, Fantasy, Drama, Romantic drama, Time travel, Romance Film",F,1742.0
111,sleepless in seattle,1993,Jonah,JONAH,"Romantic comedy, Comedy-drama, Romance Film, Drama, Comedy",M,449.0
112,2 fast 2 furious,2003,Roman,ROMAN,"Thriller, Crime Fiction, Action/Adventure, Crime Thriller, Action Thrillers, Action, Sports",M,1446.0
113,paint your wagon,1969,Jacob,JACOB,"Roadshow theatrical release, Western, Action/Adventure, Musical, Drama, Comedy, Film adaptation",M,677.0
114,the hunt for red october,1990,Jack,JACK,"Thriller, Action Thrillers, Action/Adventure, Drama, Political thriller, Action",M,1979.0
115,face/off,1997,Eve,EVE,"Thriller, Crime Fiction, Tragedy, Chase Movie, Science Fiction, Action Thrillers, Action",F,749.0
116,casino,1995,McKenna,MCKENNA,"Crime Fiction, Biography, Gangster Film, Period piece, Drama, Film adaptation",F,1066.0
117,the lost boys,1987,Max,MAX,"Cult, Horror, Coming of age, Comedy, Teen",M,1501.0
118,picnic at hanging rock,1975,Miranda,MIRANDA,"LGBT, Thriller, Horror, World cinema, Supernatural, Mystery, Period piece, Coming of age, Drama",F,894.0
119,back to the future part iii,1990,Clara,CLARA,"Science Fiction, Adventure, Western, Comedy, Family Film, Hybrid Western",F,1043.0
120,highlander,1986,Connor,CONNOR,"Cult, Action/Adventure, Science Fiction, Fantasy, Superhero movie",M,278.0
121,ghostbusters ii,1989,Oscar,OSCAR,"Science Fiction, Supernatural, Action/Adventure, Satire, Fantasy, Comedy, Action",M,1996.0
122,time bandits,1981,Kevin,KEVIN,"Science Fiction, Fantasy Adventure, Indie, Costume drama, Existentialism, Fantasy, Comedy, Family Film, Fantasy Comedy, Time travel, Adventure",M,19744.0
123,field of dreams,1989,Jackson,JACKSON,"Americana, Family Drama, Baseball, Sports, Fantasy, Film adaptation, Drama, Family Film",M,503.0
124,heat,1995,Hanna,HANNA,"Thriller, Crime Fiction, Heist, Psychological thriller, Action/Adventure, Drama, Crime Thriller, Action",F,1622.0
125,sleepless in seattle,1993,Sam,SAM,"Romantic comedy, Comedy-drama, Romance Film, Drama, Comedy",M,679.0
126,sixteen candles,1984,Jake,JAKE,"Romantic comedy, Cult, Coming of age, Comedy, Romance Film, Teen",M,747.0
127,doctor zhivago,1965,Lara,LARA,"Roadshow theatrical release, Epic, Period piece, Drama, War film, Romantic drama, Romance Film",F,65.0
128,doctor zhivago,1965,Lara,LARA,Costume drama,F,65.0
129,mad max beyond thunderdome,1985,Max,MAX,"Science Fiction, Indie, World cinema, Doomsday film, Apocalyptic and post-apocalyptic fiction, Action",M,806.0
130,mad max beyond thunderdome,1985,Max,MAX,"Science Fiction, Indie, World cinema, Doomsday film, Apocalyptic and post-apocalyptic fiction, Action",M,806.0
131,weird science,1985,Max,MAX,"Science Fiction, Buddy film, Cult, Fantasy, Comedy, Romance Film, Teen",M,806.0
132,the little mermaid,1989,Sebastian,SEBASTIAN,"Costume drama, Animation, Musical, Fantasy, Romance Film, Family Film",M,630.0
133,days of heaven,1978,Abby,ABBY,"Crime Fiction, Period piece, Drama, Romantic drama, Romance Film, New Hollywood",F,620.0
134,ghostbusters ii,1989,Louis,LOUIS,"Science Fiction, Supernatural, Action/Adventure, Satire, Fantasy, Comedy, Action",M,2677.0
135,die hard,1988,Theo,THEO,"Crime Fiction, Thriller, Action, Action/Adventure",M,191.0
136,ghostbusters ii,1989,Jack,JACK,"Science Fiction, Supernatural, Action/Adventure, Satire, Fantasy, Comedy, Action",M,1832.0
137,gladiator,2000,Maximus,MAXIMUS,"Tragedy, Adventure, Costume drama, Epic, Drama, War film, Action, Movies About Gladiators, Historical drama",M,222.0
138,the flight of the phoenix,1965,Carlos,CARLOS,"Disaster, Film adaptation, Drama, Adventure, Airplanes and airports",M,2285.0
139,picnic at hanging rock,1975,Marion,MARION,"LGBT, Thriller, Horror, World cinema, Supernatural, Mystery, Period piece, Coming of age, Drama",F,737.0
140,lethal weapon 2,1989,Leo,LEO,"Thriller, Crime Fiction, Buddy film, Buddy cop, Action/Adventure, Comedy, Action Thrillers, Action",M,917.0
141,the mask,1994,Dorian,DORIAN,"Crime Fiction, Romance Film, Action, Fantasy, Comedy",M,1067.0
142,pulp fiction,1994,Jules,JULES,"Crime Fiction, Thriller, Crime Comedy, Indie, Gangster Film, Ensemble Film, Drama, Crime Thriller, Black comedy",M,713.0
143,magnolia,1999,Rose,ROSE,Drama,F,1658.0
144,the naked gun: from the files of police squad!,1988,Jackson,JACKSON,"Parody, Crime Fiction, Screwball comedy, Comedy, Romance Film, Action",M,391.0
145,the wild bunch,1969,Angel,ANGEL,"Western, Action",M,971.0
146,titanic,1997,Rose,ROSE,"Tragedy, Costume drama, Historical fiction, Action/Adventure, Period piece, Drama, Disaster, Romantic drama, Romance Film",F,966.0
147,once upon a time in america,1984,Max,MAX,"Crime Fiction, Ensemble Film, Gangster Film, Period piece, Drama, Film adaptation",M,672.0
148,sixteen candles,1984,Bryce,BRYCE,"Romantic comedy, Cult, Coming of age, Comedy, Romance Film, Teen",M,842.0
149,boyz n the hood,1991,Brenda,BRENDA,"Crime Fiction, Drama, Coming of age, Teen",F,2643.0
150,indiana jones and the last crusade,1989,Donovan,DONOVAN,Adventure,M,831.0
151,a fistful of dollars,1964,Antonio,ANTONIO,"World cinema, Spaghetti Western, Remake, Action/Adventure, Western, Action",M,2260.0
152,back to the future part ii,1989,Parker,PARKER,"Science Fiction, Adventure, Comedy, Time travel, Family Film, Sci-Fi Adventure, Humour",M,528.0
153,clerks.,1994,Dante,DANTE,"Buddy film, Indie, Black-and-white, Cult, Drama, Comedy",M,786.0
154,breakfast at tiffany's,1961,Holly,HOLLY,"Romantic comedy, Comedy of manners, Comedy-drama, Drama, Comedy, Romance Film",F,2574.0
155,friday the 13th part 2,1981,Pamela,PAMELA,"Cult, Horror, Slasher, Teen",F,5456.0
156,once upon a time in america,1984,Patrick,PATRICK,"Crime Fiction, Ensemble Film, Gangster Film, Period piece, Drama, Film adaptation",M,12407.0
157,clueless,1995,Josh,JOSH,"Romantic comedy, LGBT, Comedy of manners, Coming of age, Comedy, Romance Film, Teen",M,297.0
158,once upon a time in america,1984,Bailey,BAILEY,"Crime Fiction, Ensemble Film, Gangster Film, Period piece, Drama, Film adaptation",F,267.0
159,the big sleep,1978,Philip,PHILIP,"Crime Fiction, Thriller, Gangster Film, Mystery, Drama, Crime Thriller",M,3418.0
160,dead poets society,1989,Nolan,NOLAN,"Ensemble Film, School story, Period piece, Drama, Coming of age, Teen",M,620.0
161,"paris, texas",1984,Hunter,HUNTER,"Mystery, Romance Film, Drama, Indie, Road movie",M,458.0
162,the fast and the furious,2001,Leon,LEON,"Crime Fiction, Thriller, Sports, Action/Adventure, Action, Auto racing",M,1526.0
163,videodrome,1983,Max,MAX,"Thriller, Mystery, Science Fiction, Horror",M,587.0
164,toy story 2,1999,Andy,ANDY,,M,1940.0
165,tombstone,1993,Josephine,JOSEPHINE,"Crime Fiction, Costume drama, Action/Adventure, Western, Drama, History, Romance Film, Action",F,903.0
166,breakfast at tiffany's,1961,José,JOSE,"Romantic comedy, Comedy of manners, Comedy-drama, Drama, Comedy, Romance Film",M,5161.0
167,hot shots!,1991,Harley,HARLEY,"Parody, Absurdism, Action/Adventure, Comedy, War film, Action, Slapstick",M,355.0
168,cannibal holocaust,1980,Alan,ALAN,"Mockumentary, Jungle Film, Horror, World cinema",M,3595.0
169,saturday night fever,1977,Pauline,PAULINE,"Dance, Musical, Drama, Coming of age, Romance Film, Musical Drama",F,800.0
170,minority report,2002,Iris,IRIS,"Crime Fiction, Thriller, Science Fiction, Future noir, Chase Movie, Action/Adventure, Mystery, Drama, Dystopia, Film adaptation, Action, Film noir",F,1092.0
171,somewhere in time,1980,William,WILLIAM,"Science Fiction, Indie, Tragedy, Romantic fantasy, Fantasy, Drama, Romantic drama, Time travel, Romance Film",M,27187.0
172,spider-man 2,2004,Jameson,JAMESON,"Thriller, Science Fiction, Superhero movie, Superhero, Action/Adventure, Drama, Fantasy, Action",M,474.0
173,the last boy scout,1991,Darian,DARIAN,"Thriller, Crime Fiction, Buddy film, Action/Adventure, Comedy, Crime Thriller, Action",M,271.0
174,the terminator,1984,Connor,CONNOR,"Thriller, Science Fiction, Indie, Doomsday film, Stop motion, Action/Adventure, Time travel, Action",M,156.0
175,sleepers,1996,Tommy,TOMMY,"Crime Fiction, Thriller, Period piece, Coming of age, Drama, Courtroom Drama",M,1352.0
176,trainspotting,1996,Tommy,TOMMY,"Crime Fiction, Buddy film, Indie, Comedy-drama, Addiction Drama, Cult, Drama, Comedy, Film adaptation, Black comedy",M,1352.0
177,the terminal,2004,Cruz,CRUZ,"Romantic comedy, Comedy-drama, Drama, Comedy, Romantic drama, Romance Film, Comedy of Errors",M,409.0
178,tremors,1990,Valentine,VALENTINE,"Action/Adventure, Science Fiction, Horror, Adventure, Creature Film, Cult, Horror Comedy, Monster, Action, Comedy",F,421.0
179,national lampoon's christmas vacation,1989,Ruby,RUBY,"Christmas movie, Family Film, Comedy, Holiday Film, Slapstick",F,764.0
180,the wicker man,1973,Neil,NEIL,"Thriller, Mystery, Crime Fiction, Horror",M,1296.0
181,the usual suspects,1995,Keaton,KEATON,"Thriller, Ensemble Film, Mystery, Crime Fiction, Crime Thriller, Neo-noir",M,515.0
182,"i, robot",2004,Sonny,SONNY,"Thriller, Science Fiction, Mystery, Drama, Film adaptation, Action",M,683.0
183,national lampoon's christmas vacation,1989,Ellen,ELLEN,"Christmas movie, Family Film, Comedy, Holiday Film, Slapstick",F,1442.0
184,two for the road,1967,Joanna,JOANNA,"Romantic comedy, Road movie, Existentialism, Comedy-drama, Marriage Drama, Drama, Comedy, Romantic drama, Romance Film",F,867.0
185,marathon man,1976,Thomas,THOMAS,"Thriller, Crime Fiction, Psychological thriller, Mystery, Drama, Film adaptation, Crime Thriller, Action, New Hollywood",M,19798.0
186,mad max,1979,Jessie,JESSIE,"Thriller, Tragedy, Adventure, World cinema, Doomsday film, Chase Movie, Science Fiction, Cult, Apocalyptic and post-apocalyptic fiction, Biker Film, Action",M,1023.0
187,logan's run,1976,Logan,LOGAN,"Science Fiction, Action",M,114.0
188,million dollar baby,2004,Frankie,FRANKIE,"Sports, Tragedy, Drama, Boxing",M,551.0
189,wayne's world,1992,Kane,KANE,"Buddy film, Absurdism, Cult, Satire, Comedy, Music",M,121.0
190,goodfellas,1990,Henry,HENRY,"Thriller, Crime Fiction, Gangster Film, Crime Drama, Drama, Film adaptation, Biographical film",M,2299.0
191,jurassic park iii,2001,Isla,ISLA,"Thriller, Natural horror films, Science Fiction, Horror, Adventure, Action/Adventure, Monster, Action",F,210.0
192,friday the 13th part 2,1981,Alice,ALICE,"Cult, Horror, Slasher, Teen",F,1625.0
193,blade,1998,Quinn,QUINN,"Thriller, Horror, Superhero movie, Action/Adventure, Fantasy, Archives and records, Action",M,868.0
194,the last of the mohicans,1992,Duncan,DUNCAN,"Costume drama, War film, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",M,365.0
195,home alone 2: lost in new york,1992,Duncan,DUNCAN,,M,365.0
196,the rocky horror picture show,1975,Rocky,ROCKY,"Parody, Sex comedy, Horror, Science Fiction, Cult, Musical, Comedy, Horror Comedy",M,335.0
197,thelma & louise,1991,Sawyer,SAWYER,"Crime Fiction, Female buddy film, Buddy film, Chase Movie, Road movie, Comedy-drama, Drama, Comedy, Outlaw, Feminist Film",M,126.0
198,blade runner,1982,Tyrell,TYRELL,"Thriller, Cyberpunk, Science Fiction, Future noir, Existentialism, Cult, Drama, Film noir, Crime Thriller, Chinese Movies, Dystopia, Neo-noir",M,211.0
199,ocean's eleven,2001,Reuben,REUBEN,"Crime Fiction, Heist, Remake, Action/Adventure, Thriller, Comedy, Action",M,487.0
200,indiana jones and the last crusade,1989,Henry,HENRY,Adventure,M,2219.0
201,dazed and confused,1993,Davis,DAVIS,"Ensemble Film, Indie, Comedy-drama, Cult, Period piece, Drama, Comedy, Coming of age, Stoner film, Teen",M,458.0
202,the usual suspects,1995,Dean,DEAN,"Thriller, Ensemble Film, Mystery, Crime Fiction, Crime Thriller, Neo-noir",M,957.0
203,romeo + juliet,1996,Juliet,JULIET,"Crime Fiction, Thriller, Romance Film, Drama",F,308.0
204,aliens,1986,Ellen,ELLEN,"Thriller, Science Fiction, Horror, Adventure, Stop motion, Sci-Fi Horror, Creature Film, Action/Adventure, Action",F,1072.0
205,blood diamond,2006,Archer,ARCHER,"Crime Fiction, Thriller, Tragedy, Adventure, Private military company, Action/Adventure, Drama, War film, Action, Political drama",M,135.0
206,brazil,1985,Ida,IDA,"Science Fiction, Future noir, Cult, Satire, Fantasy, Comedy, Drama, Black comedy, Dystopia, Kafkaesque",F,637.0
207,toy story,1995,Davis,DAVIS,,M,563.0
208,romeo + juliet,1996,Romeo,ROMEO,"Crime Fiction, Thriller, Romance Film, Drama",M,158.0
209,the english patient,1996,Hana,HANA,"War film, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",F,301.0
210,big trouble in little china,1986,Jack,JACK,"Fantasy Comedy, Adventure, Action Comedy, Martial Arts Film, Fantasy, Comedy, Romance Film, Action",M,1563.0
211,sleepless in seattle,1993,Reed,REED,"Romantic comedy, Comedy-drama, Romance Film, Drama, Comedy",M,437.0
212,the aristocats,1970,Abigail,ABIGAIL,,F,362.0
213,good will hunting,1997,Will,WILL,"Drama, Romantic drama, Romance Film, Coming of age, Indie",M,339.0
